#{"t_start": 1643843965.0871706, "env_id": "happinize-v1"}
r,l,t
245.682932,45,155.196575
4.752076,1,155.197169
264.316411,45,155.465462
176.731791,29,155.606612
247.036215,45,155.752813
195.451848,36,155.951303
244.175343,44,156.232935
204.510071,36,156.378731
272.976708,47,156.525275
253.453564,44,156.671291
207.031695,38,156.934898
287.135973,52,157.092019
246.13064,44,157.380014
194.321341,36,157.530955
298.800652,53,157.688735
331.302859,58,158.025561
233.575046,41,158.306655
160.005956,28,158.319624
247.797355,46,158.583371
271.238509,49,158.731654
242.147942,45,158.994462
277.287897,46,159.141149
216.984734,38,159.284444
287.642478,51,159.558118
149.711036,26,159.693311
286.762266,53,159.841155
289.441721,55,160.176721
198.013895,35,160.318398
209.567075,39,160.583259
230.265016,39,160.72697
262.33205,47,160.871385
223.693014,42,161.138092
249.830782,45,161.282368
219.080068,37,161.422425
180.932582,32,161.562692
291.131766,51,161.828522
273.387932,48,161.974804
291.824251,54,162.321063
226.027765,38,162.467928
252.670279,46,162.611623
230.681406,39,162.872353
188.805245,33,163.008284
165.266781,31,163.147153
298.311327,52,163.295557
231.031972,38,163.563739
180.879132,33,163.705877
230.021468,41,163.851247
175.683814,29,163.989762
169.02659,31,164.131363
249.856412,46,164.329696
321.318317,57,164.598095
261.965984,48,164.745188
266.506836,48,165.013497
281.135262,50,165.158271
318.500025,57,165.426951
255.305798,45,165.687169
262.729839,47,165.828751
321.298278,54,166.099154
157.26249,28,166.239379
321.842118,57,166.430488
267.5208,48,166.695968
251.318677,43,166.838521
295.393234,54,167.105996
250.187852,45,167.248538
282.190476,50,167.514269
215.91881,39,167.658918
286.40951,52,167.923057
160.721412,29,168.060743
171.898812,30,168.199568
217.684011,39,168.363312
245.8458,45,168.530131
256.55444,45,168.795919
272.055021,47,168.937917
288.02636,51,169.204566
298.780981,53,169.352655
267.913314,50,169.616153
253.277745,46,169.762759
134.727487,24,169.894853
237.981242,44,170.157571
181.550978,34,170.298063
309.225618,56,170.499418
306.894716,53,170.763894
242.707878,45,170.90691
251.407531,43,171.168999
249.52372,43,171.311278
221.165859,39,171.453169
158.065221,26,171.588269
120.664344,20,171.718366
188.676396,35,171.857039
206.333417,36,171.9975
236.507467,42,172.144928
235.975045,40,172.407414
278.68888,51,172.614326
260.291321,46,172.880028
268.26214,46,173.023152
250.921479,45,173.169749
156.247189,28,173.304568
267.122513,47,173.565188
264.617357,46,173.707359
238.183901,42,173.964983
262.945943,47,174.109622
156.64796,28,174.248533
181.017615,34,174.387377
272.059305,50,174.532082
173.491617,32,174.728419
206.157809,37,174.988192
282.573587,50,175.145423
280.612957,49,175.418486
296.692489,53,175.564051
265.761185,47,175.826599
259.252217,44,175.966612
240.730511,43,176.235845
244.858809,45,176.385956
308.322244,56,176.65526
189.612903,35,176.84622
238.799353,43,176.987787
201.194962,33,177.124461
143.425429,25,177.259157
307.641082,54,177.525511
299.044331,54,177.672132
194.999855,34,177.807827
150.347678,25,177.942049
236.298863,42,178.206916
268.494131,47,178.350928
318.105749,54,178.625069
233.040952,40,178.773031
314.105556,53,179.088318
215.927503,40,179.232118
221.613103,41,179.373419
285.726395,52,179.656153
268.496585,49,179.813372
314.854497,55,180.109294
159.520017,27,180.263438
196.903574,35,180.410847
214.034334,38,180.560995
254.820551,45,180.850067
103.16763,19,180.863177
313.256088,55,181.182976
311.977277,58,181.458556
211.576858,36,181.600604
269.667106,49,181.747288
320.006571,56,182.022253
246.995896,41,182.165859
303.352729,52,182.433022
297.252459,53,182.699501
252.966866,48,182.841741
294.28528,50,183.16358
282.362619,47,183.314062
330.491856,58,183.58094
236.200785,41,183.72232
286.228155,50,183.989416
234.282566,40,184.133916
176.540443,30,184.271016
317.306716,56,184.538392
271.918565,48,184.688225
281.210475,50,184.952738
285.775873,49,185.24643
278.85792,52,185.515681
197.915017,35,185.658303
220.571439,40,185.802403
259.344344,47,186.064678
160.0301,26,186.197742
81.506729,14,186.204643
267.654781,45,186.348762
222.087454,38,186.608835
242.862873,44,186.750278
190.526038,35,186.885828
245.285465,44,187.0349
211.568851,38,187.350272
270.18429,48,187.492758
303.833033,56,187.755135
295.994197,52,188.016505
305.197515,55,188.162072
227.901359,41,188.419505
291.264175,52,188.562884
265.485508,48,188.827515
269.439463,46,188.967586
299.510622,55,189.237549
231.330675,39,189.432743
244.488213,43,189.571925
247.355326,44,189.8331
275.898248,48,189.974501
75.493929,12,190.102543
226.410461,39,190.257288
265.271406,46,190.39626
239.187545,42,190.649663
268.84919,48,190.788768
269.89254,47,191.041673
77.171473,14,191.048281
280.893568,53,191.30774
270.018693,44,191.506458
240.235628,42,191.646025
200.165596,35,191.782104
192.06393,32,191.914537
286.547734,51,192.172523
330.067442,57,192.438523
228.722633,42,192.576775
133.219373,25,192.709895
247.977305,46,192.848682
208.36121,37,192.985021
310.560319,55,193.248698
178.414708,32,193.386241
186.892833,33,193.571941
293.669584,53,193.829473
176.403913,29,193.959453
260.956529,46,194.096907
231.873339,42,194.351856
288.136398,51,194.493262
253.55492,48,194.752756
317.816301,56,194.895143
166.2353,32,195.028965
204.305558,36,195.284621
273.095318,49,195.425041
184.674109,33,195.568898
271.443513,47,195.868629
183.732955,31,196.013258
279.541184,49,196.164153
276.761141,49,196.425807
268.617992,47,196.567849
246.991393,44,196.706942
54.940685,9,196.832325
296.110172,54,196.97513
251.697002,44,197.232263
301.413681,54,197.374383
250.796557,47,197.630337
259.675617,45,197.824348
312.480463,55,198.088942
229.880873,42,198.232373
304.852387,54,198.497255
252.023047,46,198.638178
235.470186,42,198.893348
72.776723,12,198.898818
181.880605,34,199.032088
115.220104,20,199.164366
177.801287,33,199.29901
239.995203,42,199.437853
294.312875,51,199.695542
262.09724,46,199.886872
309.604635,52,200.150532
261.705132,48,200.29413
289.485816,53,200.55589
142.596826,22,200.688463
318.682107,56,200.830549
296.442337,53,201.087336
222.9905,39,201.224655
221.486524,40,201.477427
189.739563,32,201.612557
94.74421,16,201.619794
186.095352,33,201.752182
251.177015,46,202.06844
97.814841,19,202.077121
305.239459,54,202.34457
292.915182,51,202.486363
172.966877,30,202.615666
213.219334,39,202.865819
171.799572,30,202.999501
180.591392,30,203.013725
200.047356,34,203.271317
167.573702,29,203.28443
238.84526,39,203.539017
253.189342,45,203.678925
278.177487,49,203.989203
247.241955,43,204.130229
326.312622,57,204.398112
224.368086,40,204.532215
234.851332,42,204.668667
182.668449,32,204.803728
338.45901,58,205.072276
256.395547,45,205.219222
320.002852,56,205.482111
257.958436,43,205.736079
263.255802,44,205.873911
163.72503,30,206.064682
262.237661,49,206.206673
277.653752,47,206.470554
270.187767,46,206.615165
319.20957,58,206.877933
196.002065,32,207.012096
294.971245,49,207.267501
320.264743,57,207.411443
255.08958,48,207.668129
311.708584,50,207.928343
243.843002,45,208.100003
62.508212,12,208.10863
211.177833,39,208.38096
279.210116,50,208.523954
280.8822,49,208.789224
232.507112,43,208.927355
271.603807,48,209.070142
132.010811,23,209.198519
280.732945,48,209.45648
248.866801,45,209.597013
222.080124,40,209.73576
172.740322,29,209.864817
199.247712,35,209.996713
286.81892,51,210.317356
221.221694,40,210.454907
251.51667,46,210.715467
201.816879,35,210.855006
272.048023,49,210.995906
264.077633,48,211.257072
245.988133,43,211.394947
300.303514,54,211.653167
261.911456,43,211.793388
248.603987,42,211.929122
289.757696,53,212.338179
211.617511,38,212.474799
241.036059,45,212.734565
224.015968,42,212.874434
288.18979,52,213.138399
132.423452,25,213.149367
161.027979,31,213.286026
303.910745,53,213.542445
304.764731,54,213.807699
282.269133,50,213.95151
232.489142,41,214.210251
335.95104,60,214.414833
304.810825,56,214.677587
200.718544,37,214.83417
323.377579,58,215.107014
177.135178,31,215.246882
281.821727,52,215.518507
154.276573,26,215.658623
240.446813,41,215.799208
269.38796,45,215.940243
119.425049,20,216.067425
301.313546,53,216.344176
129.061787,22,216.354517
292.926304,51,216.682285
249.134711,43,216.840171
255.602249,46,217.129849
304.791432,52,217.286911
294.121194,53,217.550896
225.349186,44,217.691006
210.275423,36,217.825189
280.246395,51,218.086817
250.062111,45,218.23087
289.36166,50,218.494325
309.622552,54,218.806362
247.040795,45,218.946954
202.333556,37,219.084919
285.555076,47,219.34995
162.563692,30,219.485809
276.564605,46,219.629547
257.558318,44,219.771953
165.891457,28,219.910107
338.075711,59,220.186773
246.189885,43,220.330104
237.899632,39,220.646863
260.290295,47,220.788635
285.407732,51,221.054327
164.242757,29,221.19123
315.916145,54,221.337226
242.034779,42,221.604407
245.964256,46,221.743563
258.867759,44,221.883803
103.143333,19,222.015276
295.170847,52,222.27771
321.42107,54,222.429377
285.041238,51,222.744714
310.816835,56,223.017764
134.190578,23,223.027981
272.494097,47,223.299716
209.725463,36,223.443126
285.719828,49,223.714119
303.389175,52,223.858552
